username,list_rank,number_questions,experiment_group,list_rank2,list_length,index
uid13,"[(9, 5), (7, 5), (6, 5), (5, 5), (4, 4), (2, 4), (3, 4), (1, 4), (10, 4), (8, 2)]",11,1,"[9, 7, 6, 5, 4, 2, 3, 1, 10, 8]",10,0
uid8,"[(5, 5), (4, 5), (6, 4), (7, 4), (3, 4), (8, 3), (10, 3), (9, 3), (2, 3), (1, 3)]",10,1,"[5, 4, 6, 7, 3, 8, 10, 9, 2, 1]",10,1
uid4,"[(9, 5), (6, 5), (1, 5), (5, 5), (8, 5), (2, 4), (3, 4), (7, 4), (10, 4), (4, 3)]",12,1,"[9, 6, 1, 5, 8, 2, 3, 7, 10, 4]",10,2
uid14,"[(10, 5), (6, 5), (3, 5), (7, 5), (9, 5), (8, 5), (2, 5), (4, 5), (1, 5), (5, 4)]",17,1,"[10, 6, 3, 7, 9, 8, 2, 4, 1, 5]",10,3
uid3,"[(9, 5), (10, 5), (6, 5), (7, 4), (1, 4), (4, 4), (3, 3), (8, 3), (2, 2), (5, 2)]",7,1,"[9, 10, 6, 7, 1, 4, 3, 8, 2, 5]",10,4
uid12,"[(6, 5), (5, 5), (2, 5), (3, 5), (1, 4), (8, 4), (7, 4), (9, 4), (4, 3), (10, 2)]",9,1,"[6, 5, 2, 3, 1, 8, 7, 9, 4, 10]",10,5
uid6,"[(3, 5), (7, 5), (4, 5), (10, 4), (9, 4), (5, 4), (1, 4), (8, 4), (2, 4), (6, 3)]",10,1,"[3, 7, 4, 10, 9, 5, 1, 8, 2, 6]",10,6
uid9,"[(7, 5), (9, 5), (1, 4), (2, 3), (3, 3), (6, 3), (10, 3), (5, 3), (4, 3), (8, 2)]",14,1,"[7, 9, 1, 2, 3, 6, 10, 5, 4, 8]",10,7
uid19,"[(7, 5), (6, 5), (2, 5), (8, 4), (3, 4), (1, 4), (4, 3), (9, 3), (5, 3), (10, 2)]",7,1,"[7, 6, 2, 8, 3, 1, 4, 9, 5, 10]",10,9
uid10,"[(4, 5), (7, 5), (6, 5), (5, 5), (3, 5), (10, 4), (8, 4), (1, 4), (2, 4), (9, 3)]",10,1,"[4, 7, 6, 5, 3, 10, 8, 1, 2, 9]",10,11
uid11,"[(6, 5), (3, 5), (1, 5), (9, 4), (8, 4), (5, 4), (2, 3), (7, 3), (10, 3), (4, 3)]",10,1,"[6, 3, 1, 9, 8, 5, 2, 7, 10, 4]",10,12
uid2,"[(6, 5), (7, 4), (9, 4), (1, 4), (8, 4), (5, 3), (2, 3), (3, 2), (4, 2), (10, 2)]",9,1,"[6, 7, 9, 1, 8, 5, 2, 3, 4, 10]",10,13
uid1,"[(7, 5), (8, 5), (6, 5), (5, 5), (1, 5), (3, 3), (2, 3), (4, 3), (9, 3), (10, 2)]",11,1,"[7, 8, 6, 5, 1, 3, 2, 4, 9, 10]",10,14
uid17,"[(9, 5), (1, 5), (6, 5), (8, 5), (10, 5), (7, 4), (5, 4), (3, 4), (2, 4), (4, 3)]",11,1,"[9, 1, 6, 8, 10, 7, 5, 3, 2, 4]",10,15
uid18,"[(8, 5), (6, 5), (7, 5), (5, 5), (3, 4), (9, 4), (1, 4), (4, 4), (10, 4), (2, 3)]",13,1,"[8, 6, 7, 5, 3, 9, 1, 4, 10, 2]",10,16
uid20,"[(7, 5), (6, 5), (8, 5), (3, 5), (4, 4), (9, 4), (5, 4), (1, 4), (10, 4), (2, 3)]",14,1,"[7, 6, 8, 3, 4, 9, 5, 1, 10, 2]",10,17
uid7,"[(6, 5), (1, 4), (7, 4), (8, 4), (5, 4), (2, 3), (10, 3), (9, 3), (3, 2), (4, 2)]",10,1,"[6, 1, 7, 8, 5, 2, 10, 9, 3, 4]",10,18
uid16,"[(8, 5), (7, 5), (6, 5), (5, 5), (1, 4), (4, 4), (3, 4), (9, 4), (2, 3), (10, 3)]",10,1,"[8, 7, 6, 5, 1, 4, 3, 9, 2, 10]",10,19
uid21,"[(9, 5), (8, 5), (4, 5), (5, 5), (6, 5), (2, 5), (1, 5), (10, 4), (7, 4), (3, 4)]",11,1,"[9, 8, 4, 5, 6, 2, 1, 10, 7, 3]",10,20
uid5,"[(3, 5), (1, 5), (6, 5), (8, 5), (2, 4), (4, 4), (5, 4), (7, 4), (9, 4), (10, 4)]",21,1,"[3, 1, 6, 8, 2, 4, 5, 7, 9, 10]",10,21
uid15,"[(3, 5), (1, 5), (2, 5), (7, 5), (5, 4), (6, 4), (10, 4), (9, 4), (8, 4), (4, 4)]",17,1,"[3, 1, 2, 7, 5, 6, 10, 9, 8, 4]",10,22
